metric,average_value
teacher_test_modality_acc,
teacher_test_location_acc,
teacher_test_modality_f1,
teacher_test_location_f1,
teacher_test_modality_prec,
teacher_test_location_prec,
teacher_test_modality_rec,
teacher_test_location_rec,
teacher_test_modality_auc,
teacher_test_location_auc,
teacher_test_infer_ms,12.7397
teacher_test_type_acc,0.8950
teacher_test_severity_acc,0.9054
teacher_test_type_f1,0.9022
teacher_test_severity_f1,0.8889
teacher_test_type_prec,0.9220
teacher_test_severity_prec,0.8960
teacher_test_type_rec,0.8950
teacher_test_severity_rec,0.8927
teacher_test_type_auc,0.9928
teacher_test_severity_auc,0.9800
